"customer_state","total_customers","high_value_customers","total_revenue","avg_order_value","credit_card_pct","boleto_pct","installment_avg","updated_at","high_value_revenue_share"
"AC",77,36,19680.620000000006,243.61610389610394,1,1,3.642857142857143,"2026-05-28 06:44:32",0.7922565447633253
"AL",394,154,95641.29000000008,234.8138451776652,1,1,3.7766497461928936,"2026-05-28 06:44:32",0.7450496537635566
"AM",142,46,27846.439999999995,188.22890845070418,1,1,3.369718309859155,"2026-05-28 06:44:32",0.6771332349844361
"AP",66,27,16141.81,239.9832575757576,1,1,2.712121212121212,"2026-05-28 06:44:32",0.7417482921679787
"BA",3224,925,602380.0900000029,181.5606423697279,1,1,3.309491315136476,"2026-05-28 06:44:32",0.6379450555877407
"CE",1295,453,273026.33999999944,208.15799999999962,1,1,3.58996138996139,"2026-05-28 06:44:32",0.6995088459230728
"DF",2046,535,350535.8700000005,167.36435483870991,1,1,2.7681655262300424,"2026-05-28 06:44:32",0.6040153322968047
"ES",1943,494,320997.87000000034,160.07708912334886,1,1,3.035855206724996,"2026-05-28 06:44:32",0.5849394888508128
"GO",1922,528,337815.9200000003,171.61957856399601,1,1,3.015522025667707,"2026-05-28 06:44:32",0.6145595802589763
"MA",712,261,150836.50000000003,206.58318352059928,1,1,3.088553370786517,"2026-05-28 06:44:32",0.6997062382115733
"MG",11065,2730,1828407.5900000043,160.52907625503013,1,1,3.0423602952251847,"2026-05-28 06:44:32",0.5767762318247627
"MS",684,197,134978.32999999987,193.3853435672513,1,1,2.929093567251462,"2026-05-28 06:44:32",0.6649214729505105
"MT",870,300,184158.62999999998,206.61559195402305,1,1,3.161877394636015,"2026-05-28 06:44:32",0.7036024323160963
"PA",941,367,216084.76,225.9471803046404,1,1,3.284803400637619,"2026-05-28 06:44:32",0.7400084115140744
"PB",512,214,140095.2,267.95426269531254,1,1,3.89111328125,"2026-05-28 06:44:32",0.7705941388427298
"PE",1581,524,315131.43,194.87116186259448,1,1,3.5707358212102047,"2026-05-28 06:44:32",0.6623203848629128
"PI",471,172,106247.94999999998,220.7359023354564,1,1,3.5562632696390657,"2026-05-28 06:44:32",0.7000767544220855
"PR",4794,1148,787798.2599999965,159.76697486441316,1,1,2.9069496592963424,"2026-05-28 06:44:32",0.5844583485117144
"RJ",12182,3281,2101765.090000001,166.63551407814796,1,1,3.0506416570896957,"2026-05-28 06:44:32",0.6060042799549978
"RN",470,177,101748.02,212.33764893617018,1,1,3.6968085106382977,"2026-05-28 06:44:32",0.7123573510324824
"RO",231,101,57132.97999999997,238.89610750360734,1,1,3.5458152958152955,"2026-05-28 06:44:32",0.7637226344573665
"RR",44,18,9948.97,217.4396590909091,1,1,2.8181818181818183,"2026-05-28 06:44:32",0.7757757838248583
"RS",5202,1339,869565.7500000001,161.58172321543003,1,1,3.025342816865308,"2026-05-28 06:44:32",0.5908832080840358
"SC",3471,926,599198.7900000002,167.4279165466245,1,1,2.8990444636512054,"2026-05-28 06:44:32",0.6129505868995497
"SE",335,121,73015.08000000005,212.56802985074646,1,1,3.7611940298507465,"2026-05-28 06:44:32",0.6985645978885451
"SP",39457,8432,5818730.359999873,nan,1,1,2.6748830352189703,"2026-05-28 06:44:32",0.5511972873065154
"TO",270,97,61006.86999999997,221.52549999999994,1,1,3.112962962962963,"2026-05-28 06:44:32",0.7099751224739117
