"year_month","product_category_en","price_bucket","order_count","total_revenue","avg_price","updated_at"
"2016-09","furniture_decor","A. 0-50",2,72.89,36.445,"2026-05-28 10:53:44"
"2016-09","health_beauty","A. 0-50",3,134.97,44.99,"2026-05-28 10:53:44"
"2016-10","","A. 0-50",2,65.89,32.945,"2026-05-28 10:53:44"
"2016-10","air_conditioning","B. 50-150",7,1049.3,149.9,"2026-05-28 10:53:44"
"2016-10","air_conditioning","C. 150-500",3,657.79,219.26333333333332,"2026-05-28 10:53:44"
"2016-10","audio","A. 0-50",1,24.99,24.99,"2026-05-28 10:53:44"
"2016-10","audio","B. 50-150",1,132,132,"2026-05-28 10:53:44"
"2016-10","auto","A. 0-50",4,119.88,29.97,"2026-05-28 10:53:44"
"2016-10","auto","B. 50-150",1,51.5,51.5,"2026-05-28 10:53:44"
"2016-10","auto","C. 150-500",4,1236.87,309.2175,"2026-05-28 10:53:44"
"2016-10","baby","A. 0-50",4,147.6,36.9,"2026-05-28 10:53:44"
"2016-10","baby","B. 50-150",3,283.70000000000005,94.56666666666668,"2026-05-28 10:53:44"
"2016-10","baby","C. 150-500",4,939.87,234.9675,"2026-05-28 10:53:44"
"2016-10","bed_bath_table","A. 0-50",4,89.38999999999999,22.347499999999997,"2026-05-28 10:53:44"
"2016-10","bed_bath_table","B. 50-150",3,219.70000000000002,73.23333333333333,"2026-05-28 10:53:44"
"2016-10","bed_bath_table","C. 150-500",1,169.9,169.9,"2026-05-28 10:53:44"
"2016-10","computers_accessories","A. 0-50",8,241.57,30.19625,"2026-05-28 10:53:44"
"2016-10","computers_accessories","B. 50-150",3,265.9,88.63333333333333,"2026-05-28 10:53:44"
"2016-10","computers_accessories","C. 150-500",1,161.55,161.55,"2026-05-28 10:53:44"
"2016-10","consoles_games","A. 0-50",2,81.49000000000001,40.745000000000005,"2026-05-28 10:53:44"
"2016-10","consoles_games","B. 50-150",1,58,58,"2026-05-28 10:53:44"
"2016-10","consoles_games","D. 500+",4,3479.87,869.9675,"2026-05-28 10:53:44"
"2016-10","cool_stuff","A. 0-50",1,49,49,"2026-05-28 10:53:44"
"2016-10","cool_stuff","B. 50-150",4,385.70000000000005,96.42500000000001,"2026-05-28 10:53:44"
"2016-10","cool_stuff","C. 150-500",2,611.4,305.7,"2026-05-28 10:53:44"
"2016-10","diapers_and_hygiene","B. 50-150",1,134.9,134.9,"2026-05-28 10:53:44"
"2016-10","electronics","B. 50-150",1,107.99,107.99,"2026-05-28 10:53:44"
"2016-10","fashio_female_clothing","B. 50-150",1,54.9,54.9,"2026-05-28 10:53:44"
