business_segment,converted_count,avg_days,pct_resellers,platform_share_pct
home_decor,105,50.1,42.9,12.5
health_beauty,93,35.1,72.0,11.1
car_accessories,77,50.5,87.0,9.2
household_utilities,71,52.8,67.6,8.4
construction_tools_house_garden,69,60.7,73.9,8.2
audio_video_electronics,64,63.2,90.6,7.6
computers,34,55.0,100.0,4.0
pet,30,29.1,80.0,3.6
food_supplement,28,38.3,64.3,3.3
food_drink,26,31.6,46.2,3.1
sports_leisure,25,26.8,72.0,3.0
bags_backpacks,22,19.6,54.5,2.6
bed_bath_table,22,43.4,68.2,2.6
toys,20,64.2,80.0,2.4
fashion_accessories,19,51.1,52.6,2.3
home_office_furniture,14,21.7,42.9,1.7
phone_mobile,13,29.5,92.3,1.5
stationery,13,36.5,69.2,1.5
handcrafted,12,60.4,33.3,1.4
small_appliances,12,62.0,66.7,1.4
baby,10,48.3,60.0,1.2
books,9,42.2,66.7,1.1
music_instruments,9,58.1,88.9,1.1
jewerly,8,51.9,62.5,1.0
watches,8,91.6,100.0,1.0
home_appliances,7,50.9,85.7,0.8
party,5,44.2,20.0,0.6
gifts,5,46.6,100.0,0.6
other,3,253.7,0.0,0.4
air_conditioning,3,22.0,100.0,0.4
perfume,2,149.0,100.0,0.2
games_consoles,2,25.5,100.0,0.2
religious,1,4.0,0.0,0.1
